,AIN,TOC Status,confirmTOC,notes,include,Address,cp_casenum,full_approvetime,minus_holddays,zc_floorarea,total_units,aff_units,mr_units,pct_aff,Council District,TOC Dist,ZIPCODE,LV 2012,LV2020,LV 2015,SPA DUMMY,REDEV DUMMY,GEOID,MedianHouseholdIncome16,PerOO16,PerSingFam16,Median HomeValue16,MedianGrossRent16,TOC Dummy,DISC Dummy,cp_filing,cp_complet,cp_approva,permit_num,ladbs_subm,ladbs_perm
61,2360021021,Non-TOC BR,,,1,4707 N FULTON AVE,,541,541,23998,17,0,17,0,4,4654.284569,91423,2221100,4615700,3483600,0,0,6037141101,74042,30.74639525,24.85714286,645100,1565,0,1,#N/A,11/12/2018,#N/A,17010-20000-02793,2017-07-17,2019-01-09
62,2367014027,Non-TOC BR,,,1,4114 N VANTAGE AVE,,274,274,28281,18,0,18,0,2,7319.544365,91604,2688000,5506300,4130700,0,0,6037143500,78558,40.06352087,40.55740433,869100,1688,0,0,#N/A,#N/A,#N/A,17010-20000-05144,2017-12-28,2018-09-28
63,2368004020,Non-TOC BR,,,1,12012 W VALLEYHEART DR,,666,666,29867,21,0,21,0,2,5340.481294,91604,2688000,5506300,4130700,0,0,6037143602,74700,42.48188406,32.75412685,690000,1682,0,1,#N/A,6/28/2018,#N/A,16010-10000-05915,2016-12-20,2018-10-17
64,2368009015,Non-TOC BR,,,1,4322 N GENTRY AVE,,544,544,15986,10,0,10,0,2,5354.587672,91604,2688000,5506300,4130700,0,0,6037143602,74700,42.48188406,32.75412685,690000,1682,0,0,#N/A,#N/A,#N/A,16010-20000-04479,2016-09-30,2018-03-28
65,2409003046,Non-TOC Disc,,,1,10966 W RATNER ST,DIR-2017-3457-DB,391,323,34805,44,43,1,0.977272727,6,-2343.496006,91352,760300,2184300,1429700,0,0,6037122122,32625,23.1316726,42.17252396,366000,1109,0,1,8/30/2017,12/27/2017,1/19/2018,17010-10000-04614,11/21/2017,9/25/2018
66,2419001020,Non-TOC BR,,,1,10947 W HARTSOOK ST,,545,545,13695,12,0,12,0,2,-2040.717054,91601,1701900,4341000,3056100,0,0,6037125501,47121,18.78824969,26.59574468,477700,1265,0,0,#N/A,#N/A,#N/A,18010-30000-01392,3/29/2018,9/25/2019
67,2419001025,Non-TOC Disc,,,1,10925 W HARTSOOK ST,EIO,421,421,61565,42,0,42,0,2,-1995.107333,91601,1701900,4341000,3056100,0,0,6037125501,47121,18.78824969,26.59574468,477700,1265,0,1,#N/A,#N/A,#N/A,17010-20000-03808,2017-10-03,2018-11-28
68,2419008017,Non-TOC Disc,,,1,10812 W MAGNOLIA BLVD,VTT-68054,1090,1090,36017,31,0,31,0,4,2143.824113,91505,1875600,4174400,2953900,0,0,6037311200,76454,47.28986646,70.49306626,555600,1566,0,1,#N/A,#N/A,#N/A,16010-10000-00653,2/19/2016,2/13/2019
69,2421014032,Non-TOC BR,,,1,10910 W PEACH GROVE ST,,271,271,18048,13,0,13,0,2,-1450.104618,91601,1701900,4341000,3056100,0,0,6037125502,57188,19.05594406,24.17754569,499300,1459,0,0,#N/A,#N/A,#N/A,17010-30000-02555,2017-06-29,2018-03-27
70,2423005014,Non-TOC BR,,,1,10742 W RIVERSIDE DR,,525,525,5006,12,0,12,0,4,-2251.764648,91602,2559000,5143700,3944800,0,0,6037143100,95703,45.8443855,34.77348993,780700,1633,0,0,#N/A,#N/A,#N/A,17010-20000-01517,2017-04-19,2018-09-26
71,2424002005,Non-TOC BR,,,1,4400 N CAHUENGA BLVD,,395,395,11995,10,0,10,0,13,-1822.823434,90028,4388900,7361400,5920300,0,1,6037190201,22334,0.537221796,2.734617775,,1152,0,0,#N/A,#N/A,#N/A,17010-20000-00901,3/6/2017,4/5/2018
72,2424005001,Non-TOC Disc,,,0,10352 W RIVERSIDE DR,ENV-2005-5088-MND,5239,5239,19958,12,0,12,0,4,462.8191193,91602,2559000,5143700,3944800,0,0,6037143100,95703,45.8443855,34.77348993,780700,1633,0,1,7/29/2005,#N/A,9/21/2005,13010-10000-03684,2013-12-03,2019-12-02
73,2513006900,Non-TOC BR,,,1,13574 W FOOTHILL BLVD,,213,213,19879,27,26,1,0.962962963,7,5457.175865,91342,501300,1609400,1107600,0,0,6037106114,51190,41.19897959,46.65461121,277400,1239,0,0,#N/A,#N/A,#N/A,18010-10000-04405,2018-08-10,2019-03-11
74,2530008901,Non-TOC Disc,,,1,11800 W KAGEL CANYON ST,DIR-2018-2406-ACI-DB-WDI,621,572,44044,49,48,1,0.979591837,7,6426.232947,91342,501300,1609400,1107600,0,0,6037104108,42435,45.7977208,46.80111266,258100,1298,0,1,4/27/2018,4/16/2015,10/5/2018,19010-10000-00734,2019-02-22,2020-01-08
75,2565013040,Non-TOC Disc,,,1,10140 N HILLHAVEN AVE,DIR-2018-78-DB,682,682,34261,34,8,26,0.235294118,7,24362.18022,91042,1026800,2683500,1885300,1,0,6037101210,36701,13.10763889,18.12393888,328600,1141,0,1,1/8/2018,6/11/2018,11/21/2018,18010-20000-06009,12/14/2018,11/21/2019
76,2565015065,Non-TOC Disc,,,1,10209 N SAMOA AVE,ADM-2018-6800-OVR,533,533,15320,11,0,11,0,7,25187.82973,91042,1026800,2683500,1885300,1,0,6037101210,36701,13.10763889,18.12393888,328600,1141,0,1,11/19/2018,#N/A,11/19/2018,18010-10000-04255,2018-08-30,2020-02-14
77,2565015119,Non-TOC Disc,,,1,10240 N COMMERCE AVE,ENV-2018-3101-CE,322,322,34221,36,3,33,0.083333333,7,25050.52657,91042,1026800,2683500,1885300,1,0,6037101210,36701,13.10763889,18.12393888,328600,1141,0,1,5/30/2018,8/2/2005,8/31/2018,17010-20000-04917,2017-12-14,2018-11-01
78,2654008024,Non-TOC BR,,,1,8837 N BURNET AVE,,1040,1040,16248,12,0,12,0,6,986.7241999,91343,733800,1959800,1344300,0,1,6037117520,36500,18.92712551,13.56097561,283500,1107,0,0,#N/A,#N/A,#N/A,15010-10000-01885,5/22/2015,3/27/2018
79,2654014031,Non-TOC BR,,,1,15528 W RAYEN ST,,520,520,16273,18,0,18,0,6,1267.794855,91343,733800,1959800,1344300,0,1,6037117407,24292,1.851851852,3.619441572,135900,1111,0,0,#N/A,#N/A,#N/A,17010-20000-04784,2017-12-05,2019-05-09
80,2654022017,Non-TOC Disc,,,1,15230 W PARTHENIA ST,ENV-2014-1659-MND,1534,1534,43906,41,0,41,0,6,-36.23659134,91343,733800,1959800,1344300,0,1,6037117530,37371,24.08005165,23.65657813,231100,1137,0,1,5/12/2014,5/3/2018,7/16/2014,17010-20000-03173,2017-08-18,2018-07-24
81,2654025044,TOC BR,1,,1,8444 N COLUMBUS AVE,,581,581,31904,25,2,23,0.08,7,-2135.253078,91343,733800,1959800,1344300,0,0,6037117101,76413,69.72343523,61.88083274,336900,1210,1,0,#N/A,#N/A,#N/A,18010-20000-01220,3/20/2018,10/22/2019
82,2654037024,Non-TOC Disc,,,1,15309 W CABRITO ROAD,AA-2018-1599-COC,370,370,39726,32,0,32,0,6,-562.110941,91406,1050800,2827900,1981200,0,1,6037127520,27207,3.346007605,1.792114695,274200,982,0,1,3/21/2018,5/3/2018,5/11/2018,17010-20000-03717,9/26/2017,10/1/2018
