GEOID,MedianHouseholdIncome16,PerOO16,Housing Units:,Housing Units: 1 Unit,PerSingFam16,Median HomeValue16,MedianGrossRent16
6037132001,64292,68.06649169,1176,879,74.74489796,492400,1181
6037132002,84550,63.36633663,1129,969,85.82816652,484900,1567
6037132101,68958,43.19948187,1621,801,49.41394201,436600,1448
6037132102,51939,50.55837563,2114,957,45.26963103,380900,1162
6037132300,40242,32.45901639,2493,997,39.99197754,367300,1083
6037132501,50363,44.09377818,1169,696,59.53806672,388900,1190
6037132502,42316,46.89440994,1354,484,35.74593796,248100,1216
6037132700,46667,50.2617801,1545,984,63.68932039,438600,1120
6037132900,79524,68.08346213,1349,1127,83.54336546,584800,2037
6037133000,71250,69.09233177,1307,1094,83.70313695,368500,1552
6037133100,45540,40.38559107,2128,1047,49.20112782,446200,1320
6037134001,42775,38.03552769,1002,535,53.39321357,370900,1229
6037134002,49600,47.36842105,1093,636,58.1884721,401600,1109
6037134101,69813,64.41593518,1513,1177,77.7924653,446700,1149
6037134103,64496,57.99540933,1380,846,61.30434783,413900,1158
6037134104,61858,52.29424618,1436,674,46.93593315,423300,1282
6037134201,97623,76.24489796,1289,1125,87.27695888,407400,1435
6037134302,75489,83.12757202,1287,1287,100,446600,2359
6037134303,86164,72.0761052,1872,1371,73.23717949,393600,1484
6037134304,71435,60.8839779,949,741,78.08219178,441100,2250
6037134305,35478,0,1127,11,0.976042591,,1186
6037134306,70595,36.37096774,1276,283,22.17868339,288400,1440
6037134421,104583,89.01429646,1412,1412,100,696800,3293
6037134422,101414,81.02279729,1648,1593,96.66262136,536600,2366
6037134423,98447,82.31186967,1289,1170,90.76803724,568400,2316
6037134424,131750,97.19525351,956,952,99.58158996,819700,2250
6037134520,40016,16.99003671,2014,321,15.93843098,257300,1094
6037134521,41848,20.15706806,778,217,27.89203085,344900,1323
6037134522,34253,16.44374508,1375,403,29.30909091,314500,1010
6037134710,40996,21.44155058,1651,430,26.04482132,367900,1077
6037134720,62326,47.13375796,1677,875,52.17650566,403500,1254
6037134800,61295,75.79113924,1967,1757,89.32384342,388400,1563
6037134901,66299,69.62488564,1202,906,75.37437604,469500,1226
6037134903,51652,0.364963504,2710,19,0.701107011,,1591
6037134904,49483,46.99300699,1486,889,59.82503365,422700,1022
6037134905,77500,13.69653768,2206,131,5.938349955,462500,1935
6037135102,93768,74.48494453,1262,1176,93.18541997,542100,2634
6037135111,86289,59.89010989,1206,902,74.79270315,455000,1466
6037135113,72337,12.78982797,1481,243,16.40783255,222100,2089
6037135114,54600,13.81526104,2851,284,9.961417047,370000,1619
6037135201,99044,82.64277716,932,801,85.94420601,590600,2276
6037135202,107545,90.57627119,1531,1523,99.47746571,569400,2666
6037135203,89327,88.32145685,2544,2514,98.82075472,562500,2618
6037137000,103646,89.21399885,1795,1688,94.03899721,697800,1911
6037137103,66235,49.60536701,2548,497,19.50549451,321100,1874
6037137104,78438,76.62835249,1083,1063,98.15327793,598000,3204
6037137201,64728,38.10810811,2320,1174,50.60344828,553800,1637
6037137301,142708,85.08064516,813,813,100,750900,2881
6037137302,123304,86.80425266,1623,1623,100,692600,3185
6037137401,104821,75.53779963,1745,1645,94.26934097,653900,2630
6037137402,96348,65.70719603,2229,1705,76.49170031,673600,1939
6037137501,77344,44.88235294,1840,856,46.52173913,909800,1795
6037137502,81677,64.78873239,2014,1652,82.02581927,629200,2366
6037137504,167917,98.36795252,706,706,100,1046600,
6037138000,107063,81.32733408,1889,1823,96.50608788,732700,2669
6037139001,74907,52.23517979,2220,1394,62.79279279,588900,1449
6037139200,70708,53.30634278,2460,1080,43.90243902,447300,1524
6037139301,95587,87.20257235,1706,1625,95.25205158,702400,2530
6037139302,43234,18.33766234,2100,91,4.333333333,221900,1442
6037139303,47076,30.5484367,2025,221,10.91358025,314700,1234
6037139401,68140,22.12096106,1327,363,27.35493595,485400,1183
6037139402,88929,82.89183223,951,914,96.10935857,927900,2469
6037139502,64132,56.7251462,1273,961,75.49096622,628000,1574
6037139503,52288,31.69642857,2773,258,9.304002885,323100,1408
6037139504,44074,29.26553672,1874,199,10.6189968,446000,1360
6037139600,73973,59.28537847,2303,911,39.55709944,953900,1545
6037139701,129196,74.43153108,2107,1608,76.31703844,887700,2418
6037139702,160682,93.68181818,2323,2323,100,1206400,3479
6037139703,124000,84.77842004,1038,1033,99.51830443,1217600,2695
6037139801,146500,88.83647799,1349,1349,100,1058400,2522
6037139802,139500,91.12903226,1422,1422,100,1103000,3299
6037141101,74042,30.74639525,2450,609,24.85714286,645100,1565
6037141102,90685,43.24528302,1443,701,48.57934858,943300,1783
6037141201,57228,12.57455268,2047,280,13.67855398,650200,1557
6037141202,73354,33.47701149,1499,435,29.01934623,800000,1874
6037141302,84652,31.25641903,3140,804,25.60509554,730400,1681
6037141303,62649,23.84219554,1808,58,3.207964602,410300,1574
6037141304,63603,41.76430048,1555,490,31.51125402,673900,1479
6037141400,78594,53.63591996,2127,1183,55.61824165,862100,1475
6037141500,180833,94.08396947,1113,1104,99.19137466,1469000,2208
6037141600,160455,90.86538462,1745,1745,100,1054100,2866
6037141700,182625,93.31597222,1335,1312,98.27715356,1144300,
6037143100,95703,45.8443855,2384,829,34.77348993,780700,1633
6037143200,73250,26.58476658,2183,426,19.51442968,603800,1518
6037143300,71429,39.78805395,3303,1332,40.32697548,705900,1433
6037143400,87028,38.10623557,3263,1142,34.99846767,762500,1644
6037143500,78558,40.06352087,2404,975,40.55740433,869100,1688
6037143602,74700,42.48188406,2302,754,32.75412685,690000,1682
6037143603,65588,27.65151515,1406,322,22.90184922,658900,1540
6037143604,64933,4.761904762,2244,57,2.540106952,769900,1802
6037143700,107625,69.78142077,2112,1681,79.59280303,1035500,1470
6037143800,145804,60.87136929,2534,1447,57.10339384,1051600,1667
6037143901,151917,87.69230769,1710,1639,95.84795322,1240700,3501
6037143902,116808,61.20178042,1377,784,56.93536674,1147700,1835
6037181000,114154,80.0443459,2330,2139,91.80257511,683200,1105
6037181300,86674,68.61894432,1403,1194,85.10334996,583800,1642
6037181400,57963,27.40693196,1703,790,46.38872578,596200,1375
6037181500,91375,76.7154973,1406,1277,90.82503556,553600,1413
6037181600,68516,50.81184336,1074,796,74.11545624,501400,1266
6037183101,55625,51.26243305,1375,1094,79.56363636,519000,1159
6037183103,50045,20.63829787,1488,525,35.28225806,463600,1230
6037183104,62917,67.17948718,801,577,72.0349563,583600,1173
6037183220,51667,47.23154362,1212,871,71.86468647,435200,1167
6037183221,55647,46.5093412,1084,696,64.20664207,494200,1163
6037183222,53750,63.0867144,1388,1028,74.06340058,521300,1096
6037183300,71165,57.10059172,1070,826,77.19626168,428900,1315
6037183401,54352,61.00795756,858,645,75.17482517,470200,994
6037183402,57813,35.80645161,1045,556,53.20574163,553300,1303
6037183510,64057,64.17112299,801,730,91.1360799,461100,1092
6037183520,34693,30.19755409,1160,544,46.89655172,552600,982
6037183610,42372,27.67295597,1031,501,48.59359845,502400,1096
6037183620,46544,38.36608066,1030,654,63.49514563,512600,1202
6037183701,43431,24.18990203,1395,439,31.46953405,313500,1173
6037183702,52077,52.19012116,1141,669,58.63277826,415300,1340
6037183810,33293,12.5,1404,387,27.56410256,400000,1077
6037183820,29401,27.14808044,1112,342,30.75539568,351000,1122
6037185100,70521,50.33348155,2357,1641,69.62240136,594600,1128
6037185202,67782,47.72234273,1439,956,66.43502432,643200,1268
6037185203,36738,36.46170442,977,692,70.82906858,478200,1034
6037185204,75909,71.28279883,757,702,92.7344782,667400,1239
6037185310,43088,32.4120603,882,616,69.84126984,376700,1041
6037185320,37500,34.65116279,959,648,67.57038582,412200,979
6037186100,70568,55.6849695,1851,1309,70.71853052,616800,1200
6037186201,45921,23.54452055,1231,404,32.81884647,475300,1313
6037186202,62697,46.92202462,766,403,52.61096606,440300,1158
6037186203,70288,79.76424361,1130,1086,96.10619469,601000,1740
6037186301,37317,31.20950324,974,436,44.76386037,448600,1111
6037186302,58404,63.29757199,1921,1568,81.62415409,569500,1203
6037186401,32349,10.89414183,1028,309,30.05836576,508600,1091
6037186403,49375,46.37850467,878,630,71.75398633,542300,1165
6037186404,45319,28.68217054,794,454,57.17884131,481800,1133
6037187101,61932,47.63205829,1277,956,74.86296006,627000,1323
6037187102,51031,34.5984113,1201,750,62.44796003,605400,1301
6037187200,45066,37.3167982,915,653,71.36612022,547700,1184
6037187300,91528,40.90909091,1585,886,55.89905363,723600,1748
6037188100,57589,30.58479532,1829,771,42.15418261,657300,1359
6037188201,65264,18.4309511,2028,435,21.44970414,727400,1525
6037188202,91968,53.93154487,1288,688,53.41614907,1267000,1586
6037188300,84250,53.26241135,1508,1170,77.5862069,623000,1606
6037189101,62981,12.37410072,1507,392,26.01194426,552900,1424
6037189102,64766,25.31446541,2056,288,14.0077821,618900,1416
6037189201,33966,3.599605523,2098,208,9.914204004,544600,1225
6037189202,91316,50.84459459,1309,665,50.80213904,1204500,1650
6037189300,166010,88.56282919,1415,1272,89.89399293,1547500,1250
6037189400,105361,55.84415584,2024,1375,67.93478261,1045600,1690
6037189500,53311,12.81856219,2966,465,15.67768038,1149200,1399
6037189600,67127,38.40361446,2253,987,43.80825566,892200,1491
6037189701,82176,58.20076796,2616,1102,42.12538226,986300,1897
6037189702,71958,51.72932331,1602,627,39.13857678,1063400,1626
6037189800,57412,17.86743516,2697,334,12.38413052,906800,1628
6037189902,49620,5.102040816,3258,101,3.100061387,521200,1511
6037189903,47150,20.98849018,1602,49,3.058676654,581200,1660
6037189904,41427,0.454250487,1629,37,2.271332106,,1457
6037189905,52167,16.68956044,1545,182,11.77993528,491700,1497
6037190100,48750,5.121776504,3010,168,5.581395349,,1266
6037190201,22334,0.537221796,1609,44,2.734617775,,1152
6037190202,30982,0.50831793,2478,0,0,,1326
6037190301,37181,0.95412844,3000,68,2.266666667,,1026
6037190401,41209,0.661157025,1854,73,3.937432578,,1156
6037190402,29564,0.845503459,1413,83,5.874026893,,1110
6037190510,28424,0.508762012,1823,50,2.742731761,,1145
6037190520,28892,8.680142687,1696,101,5.955188679,273800,994
6037190700,31202,7.409440176,2189,219,10.0045683,978400,1197
6037190801,20125,7.726597325,1495,118,7.892976589,627900,959
6037190802,31156,9.407407407,1474,203,13.77204885,519900,1134
6037190901,32243,5.308560053,1580,186,11.7721519,496000,983
6037190902,28973,5.534591195,1702,229,13.45475911,625000,1055
6037191000,39760,12.11678832,2566,155,6.040530008,396100,1182
6037191110,22257,2.877070619,1223,134,10.95666394,553600,1006
6037191120,32031,10.08505468,1665,380,22.82282282,541700,1026
6037191201,32359,4.09694172,1814,227,12.5137817,536800,1043
6037191203,28912,4.641350211,1266,151,11.92733017,497400,989
6037191204,32270,10.15531661,896,308,34.375,592200,1003
6037191301,40529,9.001097695,987,227,22.99898683,427300,1138
6037191302,38088,11.12311015,1029,200,19.43634597,571700,1119
6037191410,29942,1.310043668,1792,289,16.12723214,,990
6037191420,39595,4.45026178,1222,306,25.04091653,585000,1083
6037191500,40139,15.6591825,1808,371,20.5199115,557200,1051
6037191610,32639,14.7766323,1535,462,30.09771987,677900,1064
6037191620,26729,5.734144222,1234,164,13.29011345,820700,1066
6037191710,28100,6.80713128,1355,139,10.25830258,650000,883
6037191720,23125,6.634692246,1357,261,19.23360354,470800,937
6037191810,37134,5.906480722,1416,128,9.039548023,610000,1168
6037191820,47470,12.14574899,1395,99,7.096774194,471400,1075
6037191901,52554,5.518496058,1891,144,7.615018509,511000,1442
6037191902,90329,37.28937729,1606,671,41.78082192,909900,1588
6037192001,58958,18.91252955,1359,287,21.11846946,927000,1405
6037192002,92944,43.63081617,1482,773,52.15924426,847000,1828
6037192300,92419,34.57374831,1739,427,24.55434158,923200,1486
6037192410,77305,37.38765728,1892,742,39.21775899,890900,1340
