fid,AIN,SitusAddre,GEOID10
258,4235026016,3960 S GRAND VIEW BLVD,6037272302
259,4221023022,4965 S CENTINELA AVE,6037275311
260,4221023034,4971 S CENTINELA AVE,6037275311
261,6046019920,2270 E CENTURY BLVD,6037267901
262,6046021918,2300 E CENTURY BLVD,6037267901
263,5528001078,725 N CROFT AVE,6037194402
264,5528003034,728 N SWEETZER AVE,6037194402
265,5528003040,714 N SWEETZER AVE,6037194402
266,5529007022,1017 N CROFT AVE,6037194402
267,2276042001,4383 N SEPULVEDA BLVD,6037702700
268,7418004008,221 W E ST,6037294830
269,7418004009,505 N MARINE AVE,6037294830
270,2565013040,10140 N HILLHAVEN AVE,6037101210
271,2565015065,10209 N SAMOA AVE,6037101210
272,2565015119,10240 N COMMERCE AVE,6037101210
273,2138003020,7043 N JORDAN AVE,6037134520
274,2786006016,8548 N RESEDA BLVD,6037115403
275,2764013011,9131 N DARBY AVE,6037115202
276,2787017012,17455 W ROSCOE BLVD,6037115401
277,2787019007,17361 W ROSCOE BLVD,6037115401
278,2246020015,11401 N PORTER RANCH DR,6037108202
279,2148027005,20944 W VANOWEN ST,6037132501
280,2138022010,21121 W VANOWEN ST,6037132501
281,2220005003,14954 W SHERMAN WAY,6037132300
282,2224004006,16030 W SHERMAN WAY,6037132300
283,2530008901,11800 W KAGEL CANYON ST,6037104108
284,2513006900,13574 W FOOTHILL BLVD,6037106114
285,2654022017,15230 W PARTHENIA ST,6037117530
286,2654025044,8444 N COLUMBUS AVE,6037117101
287,2654014031,15528 W RAYEN ST,6037117407
288,2654008024,8837 N BURNET AVE,6037117520
289,2409003046,10966 W RATNER ST,6037122122
290,2314008036,11050 W ARMINTA ST,6037122120
291,2314007017,11065 W ARMINTA ST,6037122121
292,2337009005,11329 W OXNARD ST,6037135113
293,2338010023,11490 W OXNARD ST,6037135113
294,2332021018,12611 W OXNARD ST,6037135113
295,2350001020,11616 W BURBANK BLVD,6037137302
296,2240013006,14222 W VICTORY BLVD,6037128210
297,2240012014,6363 N TYRONE AVE,6037128210
298,2239006030,13724 W VICTORY BLVD,6037128220
299,2239023003,6015 N WOODMAN AVE,6037128601
300,2276041017,4409 N SAUGUS AVE,6037141302
301,2221021005,14912 W WYANDOTTE ST,6037127104
302,2237001017,6600 N VAN NUYS BLVD,6037128102
303,2210031012,7639 N VAN NUYS BLVD,6037127210
304,2328012003,13654 W BASSETT ST,6037123510
305,2328033043,7040 N WOODMAN AVE,6037123510
306,2654037024,15309 W CABRITO ROAD,6037127520
307,2206011022,15755 W SATICOY ST,6037127300
308,2241013013,14540 W ERWIN ST,6037128303
309,2241022003,14612 W CALVERT ST,6037128303
310,2241017010,14848 W DELANO ST,6037128303
311,2248004017,4806 N SYLMAR AVE,6037128702
312,2248005024,14419 W RIVERSIDE DR,6037128702
313,2359024031,5020 N WOODMAN AVE,6037124600
314,2360021021,4707 N FULTON AVE,6037141101
315,2284001016,4741 N LIBBIT AVE,6037139701
316,2355005061,11700 W MAGNOLIA BLVD,6037311200
317,2347026001,12301 W MAGNOLIA BLVD,6037311200
318,2347019010,12147 W MAGNOLIA BLVD,6037311200
319,2419008017,10812 W MAGNOLIA BLVD,6037311200
320,2419001025,10925 W HARTSOOK ST,6037125501
321,2419001020,10947 W HARTSOOK ST,6037125501
322,2350010016,11525 W CHANDLER BLVD,6037125310
323,2347031029,12444 W CHANDLER BLVD,6037125310
324,2353022009,11280 W PEACH GROVE ST,6037125402
325,2421014032,10910 W PEACH GROVE ST,6037125502
326,2337034016,5617 N KLUMP AVE,6037124204
327,2338024009,11436 W HATTERAS ST,6037124102
328,2350005054,5550 N BONNER AVE,6037125310
329,2350007065,11433 W ALBERS ST,6037125200
330,2350003059,5525 N CASE AVE,6037125310
331,2350018094,11115 W MCCORMICK ST,6037125320
332,2353003019,11241 W OTSEGO ST,6037125401
333,2353013004,11246 W OTSEGO ST,6037125401
334,2338028017,5610 N CAMELLIA AVE,6037124102
335,2350010015,11502 W CUMPSTON ST,6037125200
336,2350012028,11311 W CHANDLER BLVD,6037125320
337,2338023005,5758 N CAMELLIA AVE,6037124102
338,2423005014,10742 W RIVERSIDE DR,6037143100
339,2353023018,11311 W CAMARILLO ST,6037125402
340,2424005001,10352 W RIVERSIDE DR,6037143100
341,2354012049,11445 N RIVERSIDE DR,6037125200
342,2368009015,4322 N GENTRY AVE,6037143602
343,2367014027,4114 N VANTAGE AVE,6037143500
344,2368004020,12012 W VALLEYHEART DR,6037143602
345,2317017002,7401 N LANKERSHIM BLVD,6037122410
346,2356020011,5110 N WHITSETT AVE,6037123700
347,2324029019,6825 N WHITSETT AVE,6037123700
348,2335032017,11671 W ERWIN ST,6037124104
349,2335032012,6226 N COLFAX AVE,6037124104
350,2335025017,6302 N BECK AVE,6037124104
351,2333010017,6144 N WHITSETT AVE,6037123700
352,2334011030,11950 W ERWIN ST,6037123901
353,2347008021,5405 N HERMITAGE AVE,6037124902
354,2340006015,5923 N LAUREL CANYON BLVD,6037123800
